topic_id;post_number;messages
33;203; Quote: 8cc53bdf0f9bb743: Toasters don't knock on doors. SHUSH FOOL. Don't question the mysterious workings of the Toaster Quote: b3307eb9842fcb24: Who's there? Dishes 
33;443; Quote: 25f1c66612874910: Go back and kill Rumble. No, you fool! There are more pressing matters to attend to! teemo.jpg 
33;777; Quote: 39a9b5e8fc65f4a9: This whole thread makes me think of this song in the background. https://www.youtube.com/watch?v=jbIYa-zZvug Get out of here with your feely nostalgia bullshit. 
33;1819; Quote: ae818cd00f7252c3: yea it is we have our own community and rules around here like only one person represents each champ for the full community. But you guys where just dropped here so don't worry about it, if anyone is interested however just read the top threads. We are despite common belief very active people. Oh yeah? Well you can go and fuck yourself you emo Invoker wanna-be. Get out of here with your mana-free magical bullshit. 
33;1952; Quote: ff1f5e4aac5c95e4: I heard Sacrifices must be made. [spoiler: do not watch this video is NOT for the faint of heart, it's quite, well... disturbing.] bit.ly/1jUJDj1 ((I have the sudden urge to beat you to death...)) 
33;3134; Quote: 39a9b5e8fc65f4a9: Stop trying, I will never fully notice you. Going back to how you dont use/know logic, you replying to me is you noticing me, you ****ing weeaboo pleb. 
33;4090;" Quote: e9c28c39c2418922: If not, and it's a real boss battle, iunno, get e3cf9f8b9c1ac5ac or 8cc53bdf0f9bb743 to do it. Fuck you.Summoner opens with Locket for a proactive defense.Jarvan drops a new Demacian Standard to maintain the speed boost before it expires next turn; this allows us to keep the highest speed and attack first. Dragon Strike Pallas again and end with Martial Cadence.Darius continues his triple Decimate wild spinning at medium range from Pallas. We could dunk him, but triple decimate does more damage and we already ensure his stun this turn, effectively wasting the potential stun proc from the dunk. Save the dunk for an emergency reactive stun if necessary.Nami uses Tidal Wave on Pallas, hitting Jax and all party members in its path, excluding the Summoner whose current position has him out of its path. This wave also deliberately misses Vel'Koz, provided his current position, in order to avoid provoking him.Jax is immune to auto-attack effects currently, so simply use Equilibrium stike to deny him 2 action points. Save the remaining 2 action points to attempt additional equilibrium strikes on Jax if his tenacity prevents the stun.The combined tidal wave and equilibrium strike should deny both Jax and Pallas another 3 action points, leaving them stunned next turn.While we can't guarantee that Jax remains stunned, it is imperative that we keep Pallas locked down to prevent him from stealing any more attack.Estimation of current layout:985594 985607985608985613 985610 985615985609 985611 https://www.youtube.com/watch?v=2_idAE0IGqc ( https://www.youtube.com/watch?v=2_idAE0IGqc) "
33;5273; Quote: 0ea22fb07f036a22: 9.9/10 the weeaboo lived.Ty fadd0b600aa78e79 3 3 xoxoxox technically if the void wins she diesGive me that point you bastard 
73;69; Quote: a0ed09e0c4d3716d: i fap to pictures of lacey every night before bed 1v1 irl fgt 
73;72; Quote: a0ed09e0c4d3716d: back off nerd shes mine Fk you I get mad *****ez she wants the d 
73;91; Quote: c3e4e695bc40aadd: Fk you I get mad *****ez she wants the d i bet she dosent even know u loser 
73;163; i joined GD using one of my many refer-a-friend fraud smurfs, aptly named a648affc601dc39f. I laughed at a lot of ****posters and trolls like 6eebbb99664c7a4e and 04118b733c145c72. I found it funny that they continued to post even when everyone ****ing hated them. So I started ****posting and apparently people thought I was 6eebbb99664c7a4e. I remember I began posting when a few people were stirring up the ****storm about Lux being OP around the end of season 2/beginning of season 3, and I started spamming Lux OP ****.time really passed. it seems like I joined not too long ago and now apparently everyone is preaching judgement day. I've ****posted, normal posted, posted advice, posted story threads, troll threads, **** threads, bait, you name it. it was a blast GD, it's a shame I never got to play with/friend any of you except a few. 
73;204; Screw it, more confessions.I actually really liked fe1ec6dfea574d36 before he changed to being the super nice guy. It feels really polarizing. I know 25f1c66612874910 and those bunch hated him but I never had a problem.Which reminds me, I used to think c30e3ed972c2de3f was an utter dicklord cause of that. Especially since he went on a crusade against him, which is something I really dislike when people do.Oh, I also remember being in the Fekking Chatroom for a long time. It used to be actually used until the whole Drama with fe1ec6dfea574d36 and c30e3ed972c2de3f went down, and then everyone switched to another one that is now basically dead but people are still in.1ee90a8b33a20f9a rustles my jimmies inherently.25f1c66612874910 and d6210de57bce4a8d are my two favorite people I know from GD. I feel like d6210de57bce4a8d just ignores me now though. RIP friendship.I'm actually a bit toxic, but have never been banned for it. However, I have been banned something like 15 times for leaving games. That also got me the nickname Raleave.Lastly, ea2a82b2ae236a88's a fgt 
73;221; Quote: a758287f8b445f25: I stopped thinking Nasus was op after 33b18e1b75fd2dde, but it was just so funny to see people rage and I liked the attention (even tho it's from fat nerds). Also b4 people ask, no I'm not a furry. Also the only anime I watch is naruto and I like to read kiba fanfiction 3 Nobody was raging and you're a fail attention ***** troll 
73;275; Quote: 0da02e32c1358d9c: Kek fk you.I meanHi3 
73;523; Quote: 7675dc6ba65a0451: So if 8cc53bdf0f9bb743 keeps bugging you... O u O I hate you. 
73;718; Quote: 1bb2c482f7bfb623: there's a few things that are correct but most of it was inaccurate ^^ shut up 41liaryou're a guy, you're not fooling me anymore 8(also, 9104138c8085ad58 cmoonn do me gud senpai _ 
73;946; Quote: fa8614338588975c: From now on, I will downvote you. Because you ****ing message me everyday to call me a weirdo weeb. i don't call you a weirdo weeb wtf you talking about m8? i tell you word for word you make me fcking sick you know that? and sometimes i call you a fa ggot. pls get my insults straight. 
73;1029; Quote: d6210de57bce4a8d: ea2a82b2ae236a88 is also my smurf, the real one quit gd a year ago I'll murder you 
140;66; Quote: 061db2a0c94c729b: I doubt 1600 will happen unless you sell boots (if it does your Twin Fangs literally hit for 1000 damage a fang LOL. That's like a Syndra ult every .5 seconds. Also yeah...Veigar will blow her up.... Just because you main cassio like a mage adc doesn't mean you're getting 1200 upvotes like you got on Leddit. You're on GD, motherf ucker. 
140;525; Quote: c3930062e45967af: Your high level point here is dead on. Our thinking here was that damage to champions on Twin Fang coupled with the stack building mechanics would have incentivized and rewarded champion interaction-- making sure Cassiopeia still wanted to interact with enemy champions was a very important goal in this rework. As I said, we may have missed the tuning a bit on the mana, so if this turns out to be the case, I think we can solve your concerns with some number changes. Interacting with champions was already incentivized and rewarded. Look I get that you're in love with your ****ing stupid stacking passive, but you are seriously just arrogantly blowing **** out your ass and disrespecting Cassiopeia players here. Sorry if you don't like my tone, but I have lost my patience with your useless responses. Numbers cannot fix this rework. Not doing this rework fixes this rework. You don't seem to be getting that the entire thing is flawed, and are instead smugly trotting out Maybe you're just not good enough to know how to play her now. 
140;730; Quote: 0f4e9310ea3c476b: OH Look, she is already seeing plays in LCS/Challenger Hey idiot, that was pre-rework Cass. 
140;742; Quote: 6580e26c62372799: That last LCS game really proved how effective the old Cass was. It was a beautiful finish, even if it means goodbye for her. It's kind of sad, really. Could you have imagined the same outcome with the new Cass? Definitely not, especially considering the pace of that game. On a competitive level the early and midgame are insanely important, if you're unable to contribute during those phases of the game you're pretty throwing the match if your teammates fail to compensate for your shortcomings. Yeah what makes it even worse is that d8720f83aa12db6b or some other dumb Riot person is going to come in and say See, she needed nerfs because she was used once. There's no way to win here. They've made up their minds and won't be dissuaded from their stupid decisions. 
140;799; RIP Cassiopeia. I hope you're happy Idiot c3930062e45967af. 
140;1130;She's so garbage lol, like honestly why in the world would you pick a cheap version of Ryze and or Veigar when you can actually play those champions, get your powerspike around 15 minutes, and still have a better laning phase? I also like how this rework's ****ty designer keeps defending his garbage passive lol. What a pathetic excuse, how the **** did this idiot land a job at Riot? A Chimpanzee or Dolphin could of came up with a better rework then this.
140;1170; Quote: 1822e321da16845a: Its gotten to the point where, esp if you're behind and haven't been able to hit your absurd stack-goals, where you can't even reliably kill someone even AFTER you've ulted them. Maybe that'll change when they fix the E bug...but for some reason I'm not holding my breath -.- Edit: I don't even have the heart to tell my jungler how useless I'll be as a leash. Like...before sometimes I wouldn't leash b/c I wanna be first in lane and get that early lvl 2 advantage. Now? My AA's are a more effective source of damage than my Q's. Also, question, but why would I lvl up Q first any longer, given it's a tricky skill shot to land whose purpose, since its dmg has been gutted, early game is solely for racking-up stacks for her passive, instead of W? W is more reliable, since it leaves an AoE effect behind that also slows, and sticks around for 7 seconds, and since the dmg it applies is negligible, stupider opponents usually don't have a problem going in while CSing. It causes multiple minons to be poisoned, which makes getting stacks on killing them easier. The mana costs is 40, just like Q, but it's also on a longer CD, which means I won't make the mistake of spamming it trying to poison more nimble opponents. Gahhh! How about level your E... That is what riot intended... W the wave, E everything for mana and stacks.. Why would you max Q? are you an idiot? Read the changes.. 
140;1529; I don't know about the rest of you, but if this is the rate they are working on Cassiopeia, she'll be in a good spot in about 2 months.Thanks Idiot c3930062e45967af, 2 months my favorite champion is not playable. 
140;1533; Things I would change about current Cassiopeia:Aspect of the SerpentBonuses applied on 75/200/300 stacksHitting multiple champions gives multiple stacksThoughts: Essentially waiting 40 minutes on average to get fully buffed is a ridiculous amount of time considering you have had no impact in early game. Midgame should be where you start gaining power. Reducing the final boost to 300 stacks allows you to get it at around 30 minutes, however if you are actively participating in team fights (it's a team game after all) you will now gain stacks even quicker by hitting multiple enemy champions.Noxious BlastAP ratio increased to 0.8Mana cost increased to 55/60/65/70/75Thoughts: The damage was fine before, so the ratio was reverted to pre-rework. The mana cost has been INCREASED for every rank EXCEPT rank 5. This prevents early game abuse however when she starts approaching mid levels she will be able to spam them just as before. Mana costs may need to be reduced eventually because she no longer has a passive reducing the cost.Also the damage increase greatly helps with farming, having one ability to farm minions is not fun, this will make it much easier to get stacks. See twin fang thoughts for more on this.MiasmaNo changes, miasma is more of a panic poison and a minor CC ability. The increase in slow in exchange for damage seems fair. The utility of this ability (slow, poison status, vision in bushes) should be what you are using it for not damage.Twin FangDamage increased to 55/90/125/160/195Cooldown reduced to 0.5 if target is poisoned.Thoughts: Why would you nerf the ability that you are trying to make her main ability? Doesn't make sense in any way and a .5 increase in AP ratio doesn't make up for it at all.I was considering changing twin fang to reset its cooldown when you kill a target with it, but with the increase of damage on Noxious Blast you no longer need to rely so heavily on this skill as your only farming skill. You should be more focused now on the mana refund from this ability then having to meticulously making sure your target is poisoned before last hitting them.Fix the cooldown reset Idiot c3930062e45967af.Petrifying GazeDamage increased to 200/325/450AP ratio increased to 0.6Reverted all changes except mana cost. Seriously Idiot c3930062e45967af, why would you nerf her Ultimate? It's not even that great compared to other champions. It's Cassiopeia's ULTIMATE skill, it should do damage. It's not a CC utility. It's an ULTIMATE. Seriously there must be something wrong with you. 
140;1591;Lol you guys are still trying, they don't give 2 ****s about us Cassiopeia players and c3930062e45967af can go to hell for all I care. Ruining a perfectly fine and unique champion and defending her while her playerbase and many statistics (****ty winrate) say she's throw up. This company is a joke, LUCKILY THE MASTER CHIEF COLLECTION COMES OUT SOON.
140;1605; I honestly wish they would just fire c3930062e45967af and his career in anything video game related is tarnished for life. Go find a new career. Because you clearly don't care about anybody but yourself. You've only been in it for yourself. Hence you ignored the community and fed us a load of bull. Because you don't care. You're just staving us off and trying to impress your co-workers and supervisors.Edit: Never disliked anyone this much before, and c3930062e45967af is a complete stranger to me. 
140;1812; Quote: 1284a919fb514e64: Riot has addressed this before. The response was basically, Different Rioters do things differently. OK so our answer is basically that ed65fb489caa9674 is a stand up guy who cares about riot's players, and c3930062e45967af is a piece of shit scumbag who can't own up to his own mistakes even after overwhelming evidence and player response that this is the worse rework ever.I see how it is. 
140;1929; Because c3930062e45967af's a tool. I'm sorry, I don't mean to be offensive or rude but when you treat us like idiots that main Cassiopeia yet act like you know her more than we do, which is extremely disrespectful. Well. You deserved to be told you're a tool, c3930062e45967af. 
140;2169; Quote: f07bb8077bdf9fed: lol c3930062e45967af defends this terrible rework but plays her 3 days ago on rank and loses terribly hahahaha YET YOU LET THIS **** STAND PFFFT I THINK IM DONE PLAYING. http://www.lolking.net/summoner/na/2...hes/1554114595 ( http://www.lolking.net/summoner/na/20262449#matches/1554114595) REVERT THIS GARBAGE. fking c3930062e45967af 
140;2182; It's so sad, Cassiopeia was such a unique mage too . . being able to single-handedly 1v1 a Yasuo or Jax if played correctly was so rewarding. And she had SO MANY UNIQUE BUILD PATHS.My personal favorite was.Rod Of AgesLiandry's TormentVoid StaffSorcerer's ShoesRylai's Crystal ScepterZhonya's Or DeathcapAnd with this build I was doing such great damage, and it felt so fun. Now she's ruined, another main champion of mine has been changed into something I never wanted (Previously was Gragas, so I decided I won't main a mainstream champion and so I went to Cassiopeia {Because no one really played her}) and boom she's gutted.c3930062e45967af, adea0de5de6d3836 has screwed up many times and I will always dislike that idiot but you . . I have such a deep hatred for. Yes, I said it.**** you dude. I hope you NEVER massacre another champion again you freaking delinquent.Being compassionate and reasonable with this guy isn't helping, so I'm just venting in the classical way. 
140;2233; Fck you riot, you started to remove my previous posts, and Idiot c3930062e45967af get fired already, nobody likes you. 
140;2244; Quote: c8aabd9b2029696b: Neckbearding Holy **** dude. I hope no one ever listens to you. Downvote away, I just think you're ridiculous. 
140;2304; Quote: a390c313de73e558: I'm willing to bet all the math that has been done cannot account for the poison detection changes nor her ult detection changes. That's why you have more losses than wins and a KDA of 2.0 on Cass, right? That better detection came at the cost of removing the ult's damage and reducing the range by about 50. Wow, so much better detection, it accurately makes your range lower than it was before. 20% range win rate in games that end under 25 minutes and a win rate below 50% until 45 mins +. You're either a shill or you're retarded. Probably both. These fgts are probably the mains and smurfs of Rioters trying to talk trash in this thread. 
140;2311;"Why are you talking to him? Respond to my post with the link which proves you're talking out of your ass. Zero credibility - Meanwhile everything he said has been posted multiple times in this thread including immediately after him, yet you conveniently missed it... multiple times. Here, I'll quote myself: Quote: bb29804e0b8513a9: The link to what you're talking about - http://lolbuilder.net/news/how-bad-is-the-new-cassiopeia 27.8% (that's a typo it seems, 27.6% if you want to be precise) in games that end before 25 mins, and doesn't hit 50%+ until 45 mins. Only 3 days of stats so far since the patch on Thursday; Today's win rate in NA at Diamond: 42.47% It's been in the low 40s all 3 days. So the E bug fix (BS fix, they knew what they were doing and left it at 0.7 intentionally) did make a difference but still leaves Cass in the gutter. Her win rate isn't 28-34% at high Elo anymore, but being in the high 30s to low 40s is still horrendous. "
140;2314; Quote: 14cb9d1edca26110: So what is it exactly that you want? get her a .65 ratio on q? buff her E range to 800???? lol. That still wouldn't make up for the damage removed from her kit. Take your lol (you're not actually laughing unless you're demented and retarded) and shove it up your shill ass. - Base damage on spells gutted - Q's 0.8 (from 0.9) ratio dropped to 0.35 - W's 0.15 ratio dropped to 0.1 (along with the devastating base damage of 30 at max level, 30) - E's ratio also nerfed until it's maxed out - R's ratio dropped from 0.6 to 0.5 along with being more accurate (shorter range despite what the indicator shows) Lol Quote: a390c313de73e558: I tried her in patch 4.17 and she is stronger than before. Yeah ignore the 42% win rate now that she's much stronger than before. You're barely Plat trash who has no idea how to play mid considering all your heavily negative stats with zero CS. Why are you talking? 
140;2320; Quote: 14cb9d1edca26110: I don't in what kind of environment you were raised in but you definitely could use some manners You come in here full troll mode spilling absolute BS and then you say whaaaa you have no manners. If you're going to be an idiot and talk straight out of your ass and attempt to contradict hard facts then you're going to get called out on it. It's been mathematically proven she does less damage than before, it doesn't take a genius to know that without doing the math but it was done to shut trolls like you up. And the stats of tens of thousands of games combined proves she loses horribly until 45+ minutes. Removing all her damage, reducing her ult range while calling it more accurate, and lowering her late game damage somehow makes her fine and a hyper carry? You are a troll, a shill, delusional, an idiot or all of the above. 
140;2327; Quote: 14cb9d1edca26110: I am not trolling, i am giving my opinion. you only consider the damage changes instead of taking the qol buffs into account. that is your choice and i respect it, but please just stop acting like you're from the ghetto. you're on a forum with educated people, therefor you should act like an educated person. Debate with ideas, not insults. Otherwise please leave cause you're just being repulsive. If there were proper moderators this troll would have been banned a long time ago for trying to start flame wars. Talks out of his ass, annoys everyone, then calls everyone rude and repulsive for proving him wrong with plain facts. I'm betting you have no friends in real life since you have so much time to troll. Quote: a390c313de73e558: Someone link me the math please so I can look through it. I bet I'll get downvoted for this too! Yes. Find it yourself, lazy ass, there were multiple threads not just one. I bet it's on Reddit as well. 
140;2339; Quote: acf0a11f530ecdbe: I don't know what you all are rattling about but I personally love this rework I'm plat 5 EDIT: I love how you're down-voting feedback like okay lmfao Maybe it's because you posted a random picture of some half-assed wins in normals of all things? Or maybe because you're Silver 5 and not Plat? Or maybe it's because you sound like a complete dick or troll considering there's hundreds of posts to know what we're rattling about including this page? 
140;2343; Quote: acf0a11f530ecdbe: It's my EUNE account 63f2530b3c85c499 :3 You posted normals and got Plat in the Special Olympics, so what? You're S5 here and normals are worthless. You went full jerkoff mode basically insulting everyone here by insinuating everyone's complaining about nothing despite the mountain of evidence in this thread alone.Let's see you get even Gold in NA playing Cassio. Quote: acf0a11f530ecdbe: Normals or not, feedback is feedbackno need to be an ****** about it That's not feedback, that's you being a jackoff snidely saying everyone's whining about nothing basically taking a **** on everyone in this thread while your evidence for it is a meaningless screenshot of nothing. 
140;2344; Quote: bb29804e0b8513a9: You posted normals and got Plat in the Special Olympics, so what? You're S5 here and normals are worthless. You went full jerkoff mode basically insulting everyone here by insinuating everyone's complaining about nothing despite the mountain of evidence in this thread alone. Let's see you get even Gold in NA playing Cassio. This isn't my account, I'm using it to give feedback and put everyone who says it's bad in their place And I'm being the jerk? everyone here is insulting the rioter and the rework without calmly experimenting first how about you calm your tight ass down before instantly judging things The rework is completely fine, you're just a jerk who needs a better hobby 
140;2345; Quote: acf0a11f530ecdbe: This isn't my account, I'm using it to give feedback and put everyone who says it's bad in their place Then this account you're on and your own need to be banned for account sharing. And again, nothing about that was feedback, it was just you being a jackoff. You gave zero information, just a snide insult and you think we're so stupid that you can just walk off and pretend you're being high and mighty? Here's my response to you: I'm reporting you for account sharing. 
140;2427; fck you idiot c3930062e45967af , on a daily basis 
